Incident Number,CalendarYear,Month,IncDate,Call_Type,Problem,ResponseArea,Jurisdiction,PriorityDescription,Council_District,Location
22000002,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2403,AFD,3F,2,"(-97.769871,30.178386)"
22000011,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-3004,AFD,3F,1,"(-97.671294,30.394254)"
22000019,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0603,AFD,3F,9,"(-97.756675,30.241250)"
22000028,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-3404,AFD,3F,6,"(-97.794793,30.480280)"
22000029,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-5101,AFD,3F,8,"(-97.838458,30.233931)"
22000037,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-2306,AFD,1F,4,"(-97.692635,30.364969)"
22000038,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0805,AFD,3F,7,"(-97.734222,30.364264)"
22000043,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2205,AFD,3F,3,"(-97.693728,30.234032)"
22000045,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0101,AFD,3F,9,"(-97.735784,30.266092)"
22000046,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2401,AFD,3F,2,"(-97.743058,30.192664)"
22000048,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2401,AFD,3F,2,"(-97.731155,30.191283)"
22000049,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2305,AFD,3F,4,"(-97.696442,30.349147)"
22000052,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-0502,AFD,3F,-,"(-97.692255,30.270703)"
22000054,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2204,AFD,3F,3,"(-97.706986,30.228537)"
22000058,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-0803,AFD,3F,4,"(-97.711809,30.363006)"
22000064,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-0301,AFD,3F,9,"(-97.747674,30.289443)"
22000066,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1504,AFD,3F,1,"(-97.706445,30.269932)"
22000067,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2204,AFD,3F,3,"(-97.717471,30.231659)"
22000075,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2403,AFD,3F,2,"(-97.758373,30.178084)"
22000079,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1804,AFD,3F,4,"(-97.694680,30.326797)"
22000081,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2204,AFD,3F,3,"(-97.714684,30.235180)"
22000082,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2601,AFD,3F,1,"(-97.626021,30.294255)"
22000085,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-1407,AFD,1F,4,"(-97.714795,30.316076)"
22000086,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0802,AFD,3F,4,"(-97.699648,30.358309)"
22000087,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-3404,AFD,3F,6,"(-97.785281,30.475378)"
22000093,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2601,AFD,3F,1,"(-97.626021,30.294255)"
22000104,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1802,AFD,3F,1,"(-97.669611,30.307529)"
22000113,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-4503,AFD,3F,6,"(-97.767419,30.481542)"
22000122,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXL- Structure Fire,00-4104,AFD,1F,1,"(-97.612957,30.372331)"
22000128,2022,Jan,01/01/2022 12:00:00 AM,Fire,AUTO - Auto Fire,00-0806,AFD,2F,7,"(-97.724638,30.380935)"
22000135,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2403,AFD,3F,2,"(-97.767193,30.183923)"
22000157,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2005,AFD,3F,2,"(-97.782886,30.205695)"
22000171,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-3504,AFD,3F,2,"(-97.697556,30.199999)"
22000214,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,04-2609,AFD,3F,-,"(-97.607385,30.264050)"
22000238,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-3402,AFD,3F,6,"(-97.805752,30.457648)"
22000252,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-1709,AFD,1F,3,"(-97.765376,30.213776)"
22000287,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2303,AFD,3F,1,"(-97.677578,30.328919)"
