CalendarYear,Response_Area,Valid_Emergency_Incs,Emergency_Incs_Within_8mins,%Arrivals _Within_8mins,First_in_Unit_AFD,First_in_Unit _ESD,90th_ResponseTime
2023,00-0010,6,4,0.667,0,6,00:15:12.000
2024,00-0010,2,0,0,0,2,00:09:52.200
2022,00-0010,1,0,0,0,1,00:08:06.847
2022,00-0020,1,0,0,0,1,00:10:34.257
2024,00-0020,1,0,0,1,0,00:08:05.507
2023,00-0040,16,13,0.813,16,0,00:08:45.588
2022,00-0040,20,15,0.75,19,1,00:09:23.100
2024,00-0040,19,14,0.737,19,0,00:09:16.174
2024,00-0060,21,19,0.905,14,7,00:07:59.220
2023,00-0060,15,12,0.8,9,6,00:08:23.458
2022,00-0060,12,7,0.583,6,6,00:14:08.162
2024,00-0070,9,9,1,9,0,00:07:07.486
2022,00-0070,8,8,1,8,0,00:07:31.569
2023,00-0070,15,11,0.733,15,0,00:33:19.000
2023,00-0080,1,1,1,1,0,00:04:29.563
2023,00-0090,5,5,1,5,0,00:07:27.600
2022,00-0090,6,5,0.833,6,0,00:08:27.515
2024,00-0090,6,4,0.667,6,0,00:08:23.685
2022,00-0101,1727,1540,0.892,1726,1,00:08:04.567
2023,00-0101,1566,1290,0.824,1566,0,00:09:02.715
2024,00-0101,1629,1315,0.807,1629,0,00:09:06.867
2022,00-0102,1536,1368,0.891,1536,0,00:08:05.920
2024,00-0102,1952,1650,0.845,1952,0,00:08:48.703
2023,00-0102,1806,1506,0.834,1803,3,00:08:49.807
2022,00-0103,9,9,1,9,0,00:07:14.816
2023,00-0103,9,9,1,9,0,00:06:35.305
2024,00-0103,4,4,1,4,0,00:06:14.698
2022,00-0201,440,387,0.88,440,0,00:08:29.960
2023,00-0201,480,415,0.865,480,0,00:08:33.136
2024,00-0201,557,462,0.829,557,0,00:09:18.801
2022,00-0202,394,348,0.883,394,0,00:08:31.324
2024,00-0202,417,354,0.849,417,0,00:09:03.024
2023,00-0202,414,348,0.841,414,0,00:08:55.902
2022,00-0203,178,138,0.775,178,0,00:09:06.683
2024,00-0203,146,104,0.712,146,0,00:10:52.915
2023,00-0203,154,107,0.695,154,0,00:10:01.087
2022,00-0301,421,378,0.898,421,0,00:07:58.586
2023,00-0301,430,386,0.898,430,0,00:08:04.367
2024,00-0301,484,427,0.882,484,0,00:08:08.725
2023,00-0302,157,132,0.841,157,0,00:08:45.178
2022,00-0302,163,137,0.84,163,0,00:09:16.601
2024,00-0302,158,130,0.823,158,0,00:08:55.062
2022,00-0303,311,273,0.878,311,0,00:08:08.264
2024,00-0303,297,255,0.859,297,0,00:09:01.954
2023,00-0303,296,246,0.831,296,0,00:09:21.329
2022,00-0401,481,391,0.813,480,1,00:08:50.740
2024,00-0401,384,306,0.797,383,1,00:09:48.440
2023,00-0401,452,357,0.79,452,0,00:09:48.335
2022,00-0402,60,53,0.883,60,0,00:08:08.466
2024,00-0402,56,49,0.875,56,0,00:09:14.777
2023,00-0402,69,60,0.87,69,0,00:08:11.913
2022,00-0501,805,681,0.846,805,0,00:08:44.090
2024,00-0501,594,492,0.828,594,0,00:09:19.200
2023,00-0501,674,542,0.804,674,0,00:09:15.990
2022,00-0502,390,318,0.815,390,0,00:09:28.451
2024,00-0502,389,305,0.784,389,0,00:09:02.972
2023,00-0502,360,279,0.775,360,0,00:09:30.933
2022,00-0503,70,60,0.857,70,0,00:09:42.133
2023,00-0503,73,57,0.781,73,0,00:08:47.731
2024,00-0503,78,57,0.731,78,0,00:10:32.390
2023,00-0504,240,156,0.65,240,0,00:10:33.267
2022,00-0504,234,152,0.65,234,0,00:10:09.173
2024,00-0504,278,169,0.608,278,0,00:10:57.889
2022,00-0505,171,105,0.614,171,0,00:10:32.180
2023,00-0505,164,98,0.598,163,1,00:10:06.400
2024,00-0505,171,96,0.561,171,0,00:10:29.025
2022,00-0601,393,336,0.855,393,0,00:08:26.782
2023,00-0601,415,337,0.812,415,0,00:09:04.350
2024,00-0601,331,267,0.807,331,0,00:09:29.500
2022,00-0602,164,134,0.817,164,0,00:09:27.556
2023,00-0602,184,140,0.761,183,1,00:09:50.752
2024,00-0602,200,141,0.705,200,0,00:10:03.562
2023,00-0603,513,454,0.885,513,0,00:08:11.911
2022,00-0603,492,427,0.868,492,0,00:08:20.484
2024,00-0603,416,336,0.808,416,0,00:08:59.710
2023,00-0604,363,322,0.887,363,0,00:08:07.988
2022,00-0604,334,290,0.868,334,0,00:08:24.639
2024,00-0604,374,320,0.856,374,0,00:08:35.986
2022,00-0701,773,671,0.868,773,0,00:08:38.720
2023,00-0701,857,675,0.788,857,0,00:09:53.262
2024,00-0701,800,629,0.786,800,0,00:09:35.710
2022,00-0702,492,420,0.854,492,0,00:08:37.969
2023,00-0702,499,419,0.84,499,0,00:08:43.011
2024,00-0702,531,435,0.819,531,0,00:09:21.856
2022,00-0801,584,487,0.834,584,0,00:09:15.333
2023,00-0801,461,366,0.794,460,1,00:09:22.416
2024,00-0801,484,345,0.713,484,0,00:10:16.790
2022,00-0802,341,258,0.757,341,0,00:10:19.000
2024,00-0802,294,199,0.677,294,0,00:10:16.176
2023,00-0802,281,181,0.644,281,0,00:10:21.028
2022,00-0803,548,410,0.748,548,0,00:09:34.858
2023,00-0803,489,345,0.706,489,0,00:09:48.739
2024,00-0803,442,303,0.686,442,0,00:10:32.945
2022,00-0804,410,363,0.885,410,0,00:08:20.276
2023,00-0804,358,292,0.816,358,0,00:09:13.855
2024,00-0804,370,293,0.792,370,0,00:09:44.000
2022,00-0805,330,273,0.827,330,0,00:09:10.418
2024,00-0805,299,246,0.823,299,0,00:09:04.803
2023,00-0805,294,240,0.816,294,0,00:08:48.460
2022,00-0806,219,185,0.845,219,0,00:09:22.541
2023,00-0806,190,158,0.832,190,0,00:09:09.616
2024,00-0806,195,160,0.821,195,0,00:08:49.209
2022,00-0807,435,301,0.692,435,0,00:10:02.120
2023,00-0807,391,252,0.645,391,0,00:10:26.473
2024,00-0807,366,221,0.604,366,0,00:10:44.300
2022,00-0901,205,187,0.912,205,0,00:07:45.115
2023,00-0901,199,176,0.884,199,0,00:09:02.409
2024,00-0901,199,176,0.884,199,0,00:08:30.766
2022,00-0902,99,92,0.929,99,0,00:07:28.769
2023,00-0902,90,82,0.911,90,0,00:08:40.966
2024,00-0902,117,102,0.872,117,0,00:09:11.514
2023,00-0903,172,150,0.872,172,0,00:08:07.135
2024,00-0903,205,169,0.824,205,0,00:08:40.617
2022,00-0903,159,127,0.799,159,0,00:09:07.850
2023,00-1001,73,65,0.89,73,0,00:08:08.181
2024,00-1001,89,73,0.82,86,3,00:09:18.619
2022,00-1001,86,69,0.802,82,4,00:08:59.004
2023,00-1002,228,178,0.781,228,0,00:09:21.250
2024,00-1002,214,161,0.752,214,0,00:09:16.761
2022,00-1002,169,127,0.751,169,0,00:09:56.203
2022,00-1003,119,95,0.798,102,17,00:09:02.675
2023,00-1003,129,95,0.736,115,14,00:10:04.262
2024,00-1003,153,108,0.706,145,8,00:09:44.868
2023,00-1004,6,6,1,1,5,00:05:50.079
2024,00-1004,5,5,1,1,4,00:06:15.649
2022,00-1004,2,2,1,1,1,00:07:07.940
2024,00-1005,7,3,0.429,0,7,00:16:14.000
2022,00-1005,9,1,0.111,2,7,00:20:43.800
2023,00-1005,1,0,0,0,1,00:09:40.000
2024,00-1101,520,449,0.863,520,0,00:08:38.106
2022,00-1101,562,485,0.863,562,0,00:08:36.823
2023,00-1101,547,454,0.83,547,0,00:09:08.604
2024,00-1102,208,171,0.822,208,0,00:09:13.767
2022,00-1102,196,156,0.796,195,1,00:08:46.205
2023,00-1102,250,197,0.788,250,0,00:09:38.750
2022,00-1103,50,36,0.72,50,0,00:09:32.639
2023,00-1103,48,33,0.688,48,0,00:09:31.451
2024,00-1103,50,31,0.62,49,1,00:10:51.141
2023,00-1104,180,129,0.717,179,1,00:09:54.767
2022,00-1104,173,123,0.711,173,0,00:09:36.741
2024,00-1104,201,138,0.687,201,0,00:10:31.129
2024,00-1201,82,75,0.915,82,0,00:07:05.535
2023,00-1201,100,86,0.86,100,0,00:08:41.217
2022,00-1201,73,62,0.849,73,0,00:08:26.118
2022,00-1202,167,153,0.916,167,0,00:07:50.000
2024,00-1202,188,163,0.867,188,0,00:09:13.000
2023,00-1202,223,189,0.848,223,0,00:09:21.859
2022,00-1203,57,56,0.982,57,0,00:06:56.142
2023,00-1203,49,43,0.878,49,0,00:08:11.341
2024,00-1203,65,57,0.877,65,0,00:08:02.360
2022,00-1204,131,119,0.908,131,0,00:07:46.908
2023,00-1204,141,117,0.83,141,0,00:09:29.956
2024,00-1204,134,111,0.828,134,0,00:09:02.244
2022,00-1205,153,134,0.876,153,0,00:08:15.500
2024,00-1205,177,151,0.853,177,0,00:08:31.702
2023,00-1205,167,132,0.79,167,0,00:09:20.723
2022,00-1206,242,193,0.798,242,0,00:09:10.404
2023,00-1206,273,196,0.718,273,0,00:09:36.630
2024,00-1206,273,195,0.714,273,0,00:10:24.618
2022,00-1401,459,367,0.8,459,0,00:11:13.908
2023,00-1401,493,384,0.779,493,0,00:10:13.265
2024,00-1401,491,373,0.76,491,0,00:10:17.500
2022,00-1402,70,64,0.914,70,0,00:07:50.000
2023,00-1402,90,80,0.889,90,0,00:08:11.421
2024,00-1402,74,64,0.865,74,0,00:08:17.322
2022,00-1403,476,380,0.798,476,0,00:09:17.785
2023,00-1403,543,408,0.751,543,0,00:09:32.358
2024,00-1403,448,325,0.725,448,0,00:10:14.129
2023,00-1404,207,177,0.855,207,0,00:09:34.623
2022,00-1404,167,135,0.808,167,0,00:08:56.518
2024,00-1404,192,154,0.802,192,0,00:09:11.547
2022,00-1405,165,138,0.836,165,0,00:09:50.013
2023,00-1405,131,106,0.809,131,0,00:09:20.099
2024,00-1405,115,84,0.73,115,0,00:12:37.000
2023,00-1406,173,146,0.844,173,0,00:08:56.773
2024,00-1406,204,172,0.843,204,0,00:08:37.041
2022,00-1406,173,142,0.821,173,0,00:08:57.832
2022,00-1407,259,182,0.703,259,0,00:10:03.202
2023,00-1407,248,172,0.694,248,0,00:09:49.575
