"","Incident.Number","CalendarYear","Month","IncDate","Call_Type","Problem","ResponseArea","Jurisdiction","PriorityDescription","Council_District","Location","Date","dateDay","month","day","season","Fire_Type"
"1",22000002,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2403","AFD","3F","2","(-97.769871,30.178386)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"2",22000011,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3004","AFD","3F","1","(-97.671294,30.394254)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"3",22000019,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0603","AFD","3F","9","(-97.756675,30.241250)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"4",22000028,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3404","AFD","3F","6","(-97.794793,30.480280)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"5",22000029,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-5101","AFD","3F","8","(-97.838458,30.233931)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"6",22000037,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-2306","AFD","1F","4","(-97.692635,30.364969)",2022-01-01,"01-01",1,1,"Winter","BOX"
"7",22000038,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0805","AFD","3F","7","(-97.734222,30.364264)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"8",22000043,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2205","AFD","3F","3","(-97.693728,30.234032)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"9",22000045,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0101","AFD","3F","9","(-97.735784,30.266092)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"10",22000046,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2401","AFD","3F","2","(-97.743058,30.192664)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"11",22000048,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2401","AFD","3F","2","(-97.731155,30.191283)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"12",22000049,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2305","AFD","3F","4","(-97.696442,30.349147)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"13",22000052,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0502","AFD","3F","-","(-97.692255,30.270703)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"14",22000054,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2204","AFD","3F","3","(-97.706986,30.228537)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"15",22000058,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0803","AFD","3F","4","(-97.711809,30.363006)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"16",22000064,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0301","AFD","3F","9","(-97.747674,30.289443)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"17",22000066,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1504","AFD","3F","1","(-97.706445,30.269932)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"18",22000067,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2204","AFD","3F","3","(-97.717471,30.231659)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"19",22000075,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2403","AFD","3F","2","(-97.758373,30.178084)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"20",22000079,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1804","AFD","3F","4","(-97.694680,30.326797)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"21",22000081,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2204","AFD","3F","3","(-97.714684,30.235180)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"22",22000082,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2601","AFD","3F","1","(-97.626021,30.294255)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"23",22000085,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-1407","AFD","1F","4","(-97.714795,30.316076)",2022-01-01,"01-01",1,1,"Winter","BOXS"
"24",22000086,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0802","AFD","3F","4","(-97.699648,30.358309)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"25",22000087,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3404","AFD","3F","6","(-97.785281,30.475378)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"26",22000093,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2601","AFD","3F","1","(-97.626021,30.294255)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"27",22000104,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1802","AFD","3F","1","(-97.669611,30.307529)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"28",22000113,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-4503","AFD","3F","6","(-97.767419,30.481542)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"29",22000122,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-4104","AFD","1F","1","(-97.612957,30.372331)",2022-01-01,"01-01",1,1,"Winter","BOXL"
"30",22000128,2022,"Jan","01/01/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-0806","AFD","2F","7","(-97.724638,30.380935)",2022-01-01,"01-01",1,1,"Winter","AUTO"
"31",22000135,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2403","AFD","3F","2","(-97.767193,30.183923)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"32",22000157,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2005","AFD","3F","2","(-97.782886,30.205695)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"33",22000171,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3504","AFD","3F","2","(-97.697556,30.199999)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"34",22000214,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","04-2609","AFD","3F","-","(-97.607385,30.264050)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"35",22000238,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3402","AFD","3F","6","(-97.805752,30.457648)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"36",22000252,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-1709","AFD","1F","3","(-97.765376,30.213776)",2022-01-01,"01-01",1,1,"Winter","BOX"
"37",22000287,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2303","AFD","3F","1","(-97.677578,30.328919)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"38",22000295,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","04-4801","AFD","3F","-","(-97.586001,30.248653)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"39",22000317,2022,"Jan","01/01/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-2706","AFD","2F","8","(-97.874047,30.231757)",2022-01-01,"01-01",1,1,"Winter","AUTO"
"40",22000361,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2304","AFD","3F","4","(-97.692307,30.337526)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"41",22000363,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0804","AFD","3F","7","(-97.722948,30.366238)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"42",22000373,2022,"Jan","01/01/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-1803","AFD","3F","4","(-97.702144,30.315269)",2022-01-01,"01-01",1,1,"Winter","DUMP"
"43",22000385,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2404","AFD","3F","2","(-97.742367,30.166309)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"44",22000410,2022,"Jan","01/01/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1903","AFD","3F","10","(-97.766975,30.341843)",2022-01-01,"01-01",1,1,"Winter","GRASS"
"45",22000413,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2705","AFD","3F","8","(-97.870620,30.223075)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"46",22000417,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-2201","AFD","4F","3","(-97.707755,30.222162)",2022-01-01,"01-01",1,1,"Winter","BBQ"
"47",22000419,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2305","AFD","3F","4","(-97.701621,30.350047)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"48",22000440,2022,"Jan","01/01/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-2306","AFD","1F","4","(-97.691949,30.359055)",2022-01-01,"01-01",1,1,"Winter","BOX"
"49",22000454,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0702","AFD","3F","3","(-97.709495,30.260127)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"50",22000499,2022,"Jan","01/01/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0702","AFD","3F","3","(-97.709495,30.260127)",2022-01-01,"01-01",1,1,"Winter","TRASH"
"51",22000534,2022,"Jan","01/01/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-1708","AFD","2F","3","(-97.764171,30.222480)",2022-01-01,"01-01",1,1,"Winter","AUTO"
"52",22000554,2022,"Jan","01/01/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3503","AFD","3F","3","(-97.724356,30.225596)",2022-01-01,"01-01",1,1,"Winter","ELEC"
"53",22000575,2022,"Jan","01/01/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-3604","AFD","2F","5","(-97.788224,30.164157)",2022-01-01,"01-01",1,1,"Winter","AUTO"
