the_geom,OBJECTID,FIRESTATIONS_ID,ADDRESS,NAME,FACILITY,STATION_NUMBER,TYPE,STATUS,DEPARTMENT,SECONDARY_FACILITY,JURISDICTION,Y_COORDINATE,X_COORDINATE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,RESOURCES
POINT (-97.652987206992 30.453486279765),159,111,"1541 W Pflugerville Loop, Pflugerville, TX 78660",FS0205,FIRE STATION,205,0,BUILT,ESD 2,,PFLUGERVILLE,10138839,3141036,FD2396,04/30/2020 09:27:27 PM +0000,FD2396,04/30/2020 09:33:38 PM +0000,QNT
POINT (-97.709858190061 30.325231037094),55,124,"6310 Wilhelmina Delco Dr, Austin, TX 78752",PDC,Planning & Development Center,PDC,13,BUILT,AFD,,AUSTIN,,,FD2910,02/26/2024 01:36:30 PM +0000,,,
POINT (-97.630544420979 30.406161797256),49,117,"2021 Crystal Bend Dr, Pflugerville, TX 78660",FS0208,FIRE STATION,208,0,BUILT,ESD 2,,PFLUGERVILLE,,,FD2910,08/09/2022 11:37:34 AM +0000,,,Unknown
POINT (-97.786788392061 30.357731543515),9,51,"5507 RM 2222, Austin, TX 78731",FS0031,FIRE STATION,31,10,AFD BUILT,AFD,,AUSTIN,10103033,3099687,FD2396,06/14/2016 04:29:38 PM +0000,,,"ENG, RES"
POINT (-97.700242831419 30.504726238481),139,94,"350 Deep Wood Dr, Round Rock, TX 78681",FSRR05,FIRE STATION,RR5,0,BUILT,ROUND ROCK,,ROUND ROCK,10157113,3125790,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,02/05/2019 10:23:20 AM +0000,Unknown
POINT (-97.571109981672 30.430553243462),53,119,"17221 Weiss Ln, Pflugerville, TX 78660",FS0206,FIRE STATION,206,0,BUILT,ESD 2,,PLUGERVILLE,,,FD2910,08/09/2022 11:45:04 AM +0000,,,Unknown
POINT (-97.809146630992 30.534783238939),69,133,"1501 Cottonwood Creek Trail, Cedar Park, TX 78613",FSCP05,FIRE STATION,CP5,0,BUILT,CEDAR PARK,,CEDAR PARK,,,FD2910,02/26/2024 04:57:45 PM +0000,,,Unknown
POINT (-97.742873025822 30.418255554625),106,12,"5228 Duval Rd, Austin, TX 78727",FS0025,FIRE STATION,25,10,AFD BUILT,AFD,EMS,AUSTIN,10125358,3113021,FD2396,06/14/2016 04:29:38 PM +0000,,,ENG
POINT (-97.946964765589 30.30726145005),1,20,"13333 State Hwy 71, Bee Cave, TX 78738",FS0603,FIRE STATION,603,0,BUILT,ESD 6,,BEE CAVE,10083561,3049115,FD2396,06/14/2016 04:29:38 PM +0000,FD2396,01/14/2019 02:28:27 PM +0000,QNT
POINT (-97.786906650134 30.465948960603),104,56,"10041 Lake Creek Pkwy, Austin, TX 78729",FS0034,FIRE STATION,34,10,AFD BUILT,AFD,EMS,AUSTIN,10142379,3098748,FD2396,06/14/2016 04:29:38 PM +0000,,,"QNT, BC 2"
